column number 1	column number 2	column number 3	column number 4	column number 5
1	1001	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
2	1002	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
3	1003	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
4	1004	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
5	1005	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
6	1006	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
7	1007	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
8	1008	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
9	1009	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
10	1010	some text	some more text than previous but still not too much	a whole lot of text that runs on and on seemingly endlessly until finally coming to an abrupt halt
